id,name,op_id,name_de,name_sl,minint_elettorale,minint_finloc,name_it,prov_name,prov_istat_code,prov_istat_code_num,prov_acr,reg_name,reg_istat_code,reg_istat_code_num,opdm_id,com_catasto_code,com_istat_code,com_istat_code_num,geometry,comune_centr_long,comune_centr_lati,prov_centr_long,prov_centr_lati
1248,Agra,1486,,,1030860010,1030860010,,Varese,012,12,VA,Lombardia,03,3,1272,A085,012001,12001,"MULTIPOLYGON (((8.767311707879015 46.03001384885136, 8.75808420937531 46.03132387444477, 8.750350686819825 46.029290401881866, 8.750087044005433 46.032145084518255, 8.749794107544998 46.03664218730161, 8.750116337651477 46.03760026572067, 8.751141615262998 46.03930134373003, 8.752518416627044 46.04004434332032, 8.757117519055875 46.04176497395047, 8.758025622083224 46.04205826326243, 8.758728669588267 46.042292894712, 8.767692525277582 46.04501070900281, 8.768776390181191 46.0450693668652, 8.769479437686236 46.04491294589882, 8.770036016961063 46.04465876182846, 8.771881516661804 46.04332918361425, 8.7736977227165 46.04194094753765, 8.774869468558242 46.04094376387699, 8.7761876826302 46.039653290904376, 8.777242253887765 46.03848013365655, 8.777623071286332 46.03701368709675, 8.777769539516548 46.03378750466522, 8.777769539516548 46.03294674197094, 8.777564483994244 46.028390981325195, 8.77735942847194 46.028019481530045, 8.776744261905026 46.027960823667655, 8.775572516063285 46.02807813939244, 8.774049246469023 46.02841053394599, 8.771705754785541 46.02895800732831, 8.767311707879015 46.03001384885136)))",8.76465207929731,46.03617743331816,8.776116266138105,45.80468151447449
1249,Albizzate,1487,,,1030860020,1030860020,,Varese,012,12,VA,Lombardia,03,3,1273,A167,012002,12002,"MULTIPOLYGON (((8.814240128840718 45.729724698648056, 8.813566374981717 45.72949006719849, 8.81309767664502 45.729255435748925, 8.812511803724151 45.728766620228996, 8.81043195485506 45.72565775352224, 8.805715677842056 45.71781715258256, 8.80565709054997 45.717680284236984, 8.805539915965795 45.71738699492502, 8.805422741381621 45.717132810854665, 8.80407523366362 45.713828417939936, 8.804426757416142 45.71095418268275, 8.802551964069357 45.71177539275623, 8.802376202193097 45.71187315586022, 8.801936797502444 45.712088234688984, 8.80132163093553 45.712498839725725, 8.80099940082905 45.7126943659337, 8.800559996138398 45.71312452359124, 8.800091297801702 45.713926181043924, 8.799446837588745 45.71586189050284, 8.793119410043348 45.716643995334735, 8.786323284161254 45.718032231411335, 8.785678823948295 45.72628343738775, 8.788315252092211 45.729666040785666, 8.789867815332517 45.731621302865385, 8.79004357720878 45.73164085548618, 8.792826473582911 45.73224698673089, 8.794056806716739 45.73238385507647, 8.796458885692306 45.73269669700923, 8.798538734561397 45.732989986321186, 8.799505424880833 45.73316595990836, 8.804778281168664 45.73547316916243, 8.80565709054997 45.741554034230354, 8.811076415068019 45.74024400863694, 8.810226899332756 45.735786011095186, 8.814240128840718 45.729724698648056)))",8.799909726466705,45.7259325467928,8.776116266138105,45.80468151447449
1250,Angera,1488,,,1030860030,1030860030,,Varese,012,12,VA,Lombardia,03,3,1274,A290,012003,12003,"MULTIPOLYGON (((8.626057746657215 45.793700873896476, 8.62599915936513 45.79164784871277, 8.626116333949303 45.79076798077689, 8.64070456967897 45.77856714539944, 8.641583379060275 45.77829340870829, 8.645655195860323 45.77723756718524, 8.6446299182488 45.776083962558204, 8.640968212493362 45.77131312308369, 8.640206577696231 45.768165151135335, 8.64088033155523 45.76523225801576, 8.638214609765273 45.76503673180779, 8.628664881155087 45.77107849163412, 8.617591882950641 45.776083962558204, 8.612289733016766 45.778899539952995, 8.611586685511723 45.78105032824069, 8.609126019244068 45.78054196009996, 8.608042154340458 45.780307328650395, 8.60347234555767 45.77637725187016, 8.601919782317365 45.772368964606734, 8.599136885943231 45.76439149532148, 8.600425806369145 45.76278818041611, 8.60139249668858 45.76229936489618, 8.601978369609451 45.761986522963426, 8.60238848065406 45.761634575789074, 8.602827885344713 45.76118486551074, 8.602740004406582 45.760676497370014, 8.601802607733191 45.75707881514333, 8.601597552210885 45.756355368173836, 8.601246028458364 45.755514605479554, 8.600689449183538 45.75527997402999, 8.600191457200797 45.755866552653906, 8.599752052510144 45.75602297362028, 8.599488409695754 45.75602297362028, 8.597935846455448 45.75606207886187, 8.594801426328791 45.75582744741231, 8.592692283813658 45.755377737133976, 8.585749689701348 45.75166273918251, 8.58384560270852 45.750294055726705, 8.582439507698432 45.74916000372047, 8.579627317678254 45.751721397044896, 8.575321151709858 45.75629671031144, 8.572303906167377 45.759327366535004, 8.567968446552937 45.76362894311039, 8.565126962886717 45.76638586264279, 8.563603693292455 45.767754546098594, 8.562109717344235 45.76884949286324, 8.560381392227669 45.77019862369825, 8.557334853039144 45.772857780126664, 8.55630957542762 45.774109147857686, 8.555665115214664 45.77498901579356, 8.552267052273617 45.78810882434848, 8.564892613718369 45.787326719516585, 8.568876549580287 45.78881271869717, 8.574471635974596 45.790572454568924, 8.575848437338642 45.790611559810515, 8.576522191197641 45.790533349327326, 8.583376904371823 45.7893406394587, 8.590495260360395 45.78740492999978, 8.59494789455901 45.78617311488956, 8.595328711957574 45.78627087799354, 8.60063086189145 45.79133500678002, 8.601597552210885 45.792801453339806, 8.603823869310192 45.788675850351595, 8.606343122869934 45.7893015342171, 8.610707876130418 45.79041603360255, 8.610590701546244 45.791041717468055, 8.610327058731851 45.79203890112871, 8.609682598518894 45.79307519003096, 8.609536130288676 45.79362266341329, 8.610122003209547 45.79368132127568, 8.615014042098814 45.793876847483645, 8.616039319710335 45.793837742242054, 8.616800954507466 45.793700873896476, 8.626057746657215 45.793700873896476)))",8.593950900549695,45.775701605325104,8.776116266138105,45.80468151447449
1251,Arcisate,1489,,,1030860040,1030860040,,Varese,012,12,VA,Lombardia,03,3,1275,A371,012004,12004,"MULTIPOLYGON (((8.889524799172536 45.86794217506342, 8.895295647443106 45.84559352949223, 8.892161227316452 45.84275839947664, 8.883343839857355 45.83644290295914, 8.88422264923866 45.833607772943544, 8.88363677631779 45.83057711671998, 8.882963022458789 45.83036203789121, 8.880678118067395 45.829853669750484, 8.876635594913392 45.82961903830092, 8.875815372824173 45.82969724878411, 8.874936563442867 45.829853669750484, 8.874350690521997 45.83018606430404, 8.87235872259104 45.83024472216643, 8.871304151333472 45.830283827408024, 8.87086474664282 45.830264274787226, 8.870190992783819 45.83010785382085, 8.869136421526253 45.829286643747366, 8.868843485065819 45.82897380181461, 8.868726310481645 45.82850453891548, 8.868667723189557 45.827859302429175, 8.86852125495934 45.82635375062779, 8.867320215471555 45.82660793469815, 8.866324231506075 45.82774198670439, 8.865152485664336 45.83137877417267, 8.864332263575118 45.834018377980286, 8.86409791440677 45.836364692475954, 8.864478731805335 45.839551769665896, 8.860582676881549 45.84346229382533, 8.860084684898808 45.84418574079483, 8.859996803960678 45.844303056519614, 8.857624018631155 45.84768565991752, 8.85759472498511 45.84774431777992, 8.85692097112611 45.85030571110435, 8.857126026648414 45.85214365745929, 8.857301788524675 45.852769341324795, 8.857243201232588 45.8534732356735, 8.85709673300237 45.85474415602531, 8.856950264772154 45.85566312920278, 8.856715915603806 45.856054181618724, 8.856540153727543 45.85632791830989, 8.851823876714539 45.86409030876637, 8.8513258847318 45.86452046642391, 8.84948038503106 45.865752281534135, 8.848308639189318 45.86647572850363, 8.846843956887142 45.86729693857711, 8.845262100000793 45.86800083292581, 8.844441877911574 45.86776620147624, 8.839901362774832 45.87050356838785, 8.838934672455395 45.871872251843655, 8.844646933433879 45.884131745083494, 8.847049012409448 45.88293903521487, 8.848044996374927 45.882137377762184, 8.850798599103017 45.882137377762184, 8.851648114838278 45.88139437817189, 8.853142090786497 45.88008435257848, 8.853933019229672 45.879282695125795, 8.854606773088673 45.878422379810715, 8.854841122257021 45.87773803808281, 8.85507547142537 45.876525775593386, 8.854899709549107 45.8750397764128, 8.854577479442629 45.873749303440185, 8.854489598504498 45.87335825102424, 8.854636066734717 45.8729476459875, 8.860992787926158 45.86682767567798, 8.863863565238422 45.86469644001109, 8.864244382636986 45.864403150699125, 8.864508025451379 45.864285834974346, 8.864713080973683 45.86420762449116, 8.865035311080161 45.86410986138717, 8.86811114391473 45.863464624900864, 8.871509206855777 45.86410986138717, 8.872300135298952 45.864481361182314, 8.87262236540543 45.86471599263188, 8.87262236540543 45.86504838718543, 8.872095079776647 45.865400334359784, 8.872036492484561 45.86567407105095, 8.871977905192473 45.865869597258914, 8.872300135298952 45.86653438636602, 8.87262236540543 45.86723828071472, 8.873354706556519 45.86843099058335, 8.874057754061562 45.86917399017364, 8.874262809583866 45.86938906900241, 8.875346674487476 45.87032759480068, 8.882699379644398 45.87206777805163, 8.887210601135099 45.8701711738343, 8.889524799172536 45.86794217506342)))",8.870846360623416,45.854664874986305,8.776116266138105,45.80468151447449
1252,Arsago Seprio,1490,,,1030860050,1030860050,,Varese,012,12,VA,Lombardia,03,3,1276,A441,012005,12005,"MULTIPOLYGON (((8.746864742940646 45.71087597219956, 8.743320211769381 45.710152525230065, 8.74138683113051 45.706926342798525, 8.741035307377988 45.70622244844983, 8.74156259300677 45.705499001480334, 8.742587870618294 45.70416942326612, 8.744521251257165 45.70381747609177, 8.745370766992428 45.703191792226264, 8.748856710871605 45.697658400540654, 8.749911282129172 45.6959573225313, 8.750848678802564 45.694334455005134, 8.75064362328026 45.693298166102885, 8.750702210572346 45.6932004029989, 8.751463845369477 45.6917730616807, 8.752020424644304 45.691049614711204, 8.753133583193957 45.69020885201692, 8.756853876241482 45.68805806372924, 8.758054915729268 45.68739327462213, 8.763064129202707 45.68518382847205, 8.76250754992788 45.683463197841895, 8.755477074877438 45.677401885394765, 8.753983098929218 45.6757594652478, 8.742031291343467 45.67865325312579, 8.729054206146193 45.67554438641903, 8.728058222180714 45.67630693863012, 8.727296587383583 45.676991280358024, 8.726710714462712 45.67863370050499, 8.723576294336057 45.68981779960098, 8.723576294336057 45.6918121669223, 8.723078302353317 45.6932004029989, 8.721232802652576 45.69691540095036, 8.718567080862616 45.699339925929216, 8.714612438646743 45.703094029122276, 8.712386121547437 45.70579229079229, 8.710218391740217 45.70747381618085, 8.709925455279782 45.70807994742556, 8.710364859970435 45.70903802584462, 8.710892145599217 45.710132972609266, 8.714260914894222 45.71378931269834, 8.715461954382006 45.71441499656385, 8.721877262865533 45.7196550989375, 8.724484397363407 45.72206007129555, 8.725480381328886 45.72119975598048, 8.72694506363106 45.7196550989375, 8.740947426439858 45.71146255082348, 8.741972704051381 45.71122791937391, 8.744579838549253 45.71077820909557, 8.746864742940646 45.71087597219956)))",8.734724352170584,45.696446378479955,8.776116266138105,45.80468151447449
1253,Azzate,1491,,,1030860060,1030860060,,Varese,012,12,VA,Lombardia,03,3,1277,A531,012006,12006,"MULTIPOLYGON (((8.80624296347084 45.77100028115093, 8.802757019591661 45.771880149086805, 8.802200440316835 45.77217343839877, 8.801175162705313 45.77248628033152, 8.794379036823218 45.771860596466006, 8.791039561174259 45.769924887007086, 8.788578894906603 45.76832157210172, 8.785883879470601 45.76654228360917, 8.777564483994244 45.75754807804246, 8.774137127407153 45.762905496140895, 8.7800251502619 45.76779365134019, 8.783247451326686 45.77076564970137, 8.783511094141076 45.77688562001089, 8.783071689450423 45.77727667242683, 8.782251467361206 45.77755040911799, 8.781812062670554 45.777941461533935, 8.781109015165509 45.78040509175438, 8.781519126210117 45.780796144170324, 8.783686856017338 45.78265364314606, 8.785122244673468 45.79313384789336, 8.784302022584251 45.79641868818728, 8.792240600662042 45.79772871378069, 8.792826473582911 45.79641868818728, 8.794408330469262 45.79176516443755, 8.795697250895175 45.78937974470029, 8.796546766630438 45.78924287635471, 8.797454869657786 45.78906690276754, 8.799739774049181 45.787639561449346, 8.803606535326923 45.783025142941206, 8.804250995539881 45.78194974879736, 8.806389431701056 45.773737648062536, 8.806565193577319 45.77174328074123, 8.8064187253471 45.77127401784209, 8.80624296347084 45.77100028115093)))",8.79099458901964,45.77915430712022,8.776116266138105,45.80468151447449
1254,Azzio,1492,,,1030860061,1030860061,,Varese,012,12,VA,Lombardia,03,3,1278,A532,012007,12007,"MULTIPOLYGON (((8.721408564528838 45.88943050531954, 8.723049008707275 45.88945005794033, 8.725451087682842 45.88941095269874, 8.71850849357053 45.886360743854375, 8.710189098094174 45.883017245698056, 8.704447543469646 45.880710036443986, 8.703861670548775 45.88041674713203, 8.703656615026471 45.88020166830326, 8.703217210335819 45.87967374754174, 8.698090822278203 45.88166811486305, 8.696508965391855 45.88160945700066, 8.69729989383503 45.89122934643288, 8.695044283089679 45.89181592505679, 8.7010494805286 45.8932041611334, 8.715491248028048 45.89811186895349, 8.715315486151788 45.89513987059232, 8.712503296131612 45.89496389700514, 8.712444708839524 45.89465105507239, 8.712474002485568 45.894181792173256, 8.712854819884132 45.89222653009354, 8.71317704999061 45.89134666215766, 8.714260914894222 45.89027126801381, 8.717219573144616 45.8896651367691, 8.721408564528838 45.88943050531954)))",8.707102144384566,45.88827940340935,8.776116266138105,45.80468151447449
1255,Barasso,1493,,,1030860062,1030860062,,Varese,012,12,VA,Lombardia,03,3,1279,A619,012008,12008,"MULTIPOLYGON (((8.766315723913536 45.86862651679132, 8.764938922549492 45.85560447134039, 8.764821747965318 45.854118472159804, 8.764851041611362 45.85280844656639, 8.765056097133666 45.85192857863052, 8.765495501824319 45.85147886835218, 8.765583382762449 45.850853184486674, 8.765641970054537 45.85014929013797, 8.765378327240144 45.84741192322637, 8.76526115265597 45.846649371015275, 8.764353049628621 45.843325425479755, 8.763913644937968 45.84277795209743, 8.763210597432925 45.84213271561112, 8.76092569304153 45.83853503338444, 8.757351868224223 45.83212177376296, 8.757205399994005 45.831691616105424, 8.757791272914876 45.83088995865273, 8.752254773812652 45.82965814354252, 8.745019243239906 45.83341224673558, 8.747186973047125 45.83380329915152, 8.747948607844256 45.83407703584268, 8.750702210572346 45.83593453481841, 8.750526448696085 45.841135531950464, 8.750438567757955 45.84725550225999, 8.750526448696085 45.847920291367096, 8.751112321616956 45.8492694222021, 8.752166892874522 45.85147886835218, 8.75330934507022 45.85300397277436, 8.754861908310524 45.85724689148736, 8.755975066860177 45.862037283582666, 8.75606294779831 45.86270207268977, 8.755857892276003 45.86330820393449, 8.755564955815569 45.86403165090398, 8.754774027372394 45.86475509787348, 8.754363916327785 45.865791386775726, 8.753514400592524 45.868665622032914, 8.753631575176698 45.869095779690454, 8.753836630699002 45.86976056879756, 8.756795288949396 45.869525937347994, 8.766315723913536 45.86862651679132)))",8.757889737400602,45.84987531891524,8.776116266138105,45.80468151447449
1256,Bardello,1494,,,1030860070,1030860070,,Varese,012,12,VA,Lombardia,03,3,1280,A645,012009,12009,"MULTIPOLYGON (((8.71692663668418 45.83433121991304, 8.711858835918653 45.8325323787997, 8.70582434483369 45.83102682699832, 8.705619289311386 45.830831300790344, 8.70014137750125 45.82381190992415, 8.699701972810598 45.82312756819625, 8.698998925305553 45.821856647844434, 8.685172324373017 45.831691616105424, 8.683795523008971 45.831652510863826, 8.681041920280881 45.83515242998652, 8.697534243003378 45.84473321417715, 8.698149409570291 45.843305872858956, 8.701342416989034 45.83558258764406, 8.701635353449468 45.83526974571131, 8.701869702617817 45.83513287736573, 8.7030707421056 45.834624509225, 8.703305091273949 45.834585403983404, 8.703392972212079 45.83456585136261, 8.704769773576125 45.834409430396235, 8.706000106709952 45.83427256205065, 8.709925455279782 45.83429211467145, 8.71692663668418 45.83433121991304)))",8.695707760138495,45.833322825304165,8.776116266138105,45.80468151447449
1257,Bedero Valcuvia,1495,,,1030860080,1030860080,,Varese,012,12,VA,Lombardia,03,3,1281,A728,012010,12010,"MULTIPOLYGON (((8.806360138055012 45.91744941092192, 8.807121772852145 45.91694104278119, 8.80767835212697 45.916276253674084, 8.808059169525537 45.91559191194618, 8.81016831204067 45.91086017771326, 8.80858645515432 45.90890491563354, 8.80800058223345 45.908787599908756, 8.806535899931275 45.90884625777115, 8.805803558780188 45.90902223135832, 8.80140951187366 45.90593291727237, 8.802288321254965 45.90397765519265, 8.802727725945617 45.89858113185262, 8.79297294181313 45.90088834110669, 8.788080902923864 45.90867028418398, 8.79030722002317 45.90865073156318, 8.790482981899432 45.90911999446231, 8.790512275545474 45.90931552067028, 8.790570862837562 45.909765230948615, 8.790541569191518 45.910566888401306, 8.79030722002317 45.9112903353708, 8.790277926377128 45.91138809847479, 8.789926402624605 45.91179870351152, 8.789574878872083 45.91218975592747, 8.789106180535386 45.912932755517765, 8.787817260109472 45.915279070013426, 8.787729379171342 45.91580699077495, 8.787817260109472 45.91623714843249, 8.78805160927782 45.916628200848436, 8.78922335511956 45.918016436925036, 8.790482981899432 45.919052725827285, 8.794408330469262 45.92153590866853, 8.795404314434741 45.9217509874973, 8.801848916564312 45.92194651370527, 8.803518654388792 45.92053872500787, 8.806360138055012 45.91744941092192)))",8.798098945121158,45.91146935893244,8.776116266138105,45.80468151447449
